,city,lat,lng,max temp(f),humidity(%),cloudiness(%),wind speed(mph),country,date
140,hwange,-18.37,26.5,69.4,56,40,2.62,ZW,1604366386
141,saldanha,-33.01,17.94,66.2,68,100,3.36,ZA,1604366386
142,ondangwa,-17.92,15.95,78.8,14,100,8.05,NA,1604366387
143,clyde river,70.47,-68.59,17.6,92,75,8.05,CA,1604366128
144,veraval,20.9,70.37,78.57,40,0,13.56,IN,1604366387
145,redmond,47.67,-122.12,61.0,72,100,5.17,US,1604366387
146,vila do maio,15.13,-23.22,78.8,54,0,10.29,CV,1604366167
147,cayenne,4.93,-52.33,77.0,100,0,2.24,GF,1604366180
148,belaya gora,68.53,146.42,-10.17,81,0,7.72,RU,1604366168
149,oyama,36.3,139.8,63.0,93,75,4.7,JP,1604366388
150,hokitika,-42.72,170.97,54.5,94,100,7.38,NZ,1604366389
151,faaa,-17.55,-149.6,86.0,58,20,17.22,PF,1604366389
152,kaduqli,11.02,29.72,79.84,43,0,3.27,SD,1604366389
153,coquimbo,-29.95,-71.34,55.4,82,11,2.24,CL,1604366278
154,portland,45.52,-122.68,61.0,67,99,1.14,US,1604365675
155,bethel,41.37,-73.41,37.0,47,1,11.41,US,1604366390
156,kavieng,-2.57,150.8,85.87,66,7,1.16,PG,1604366170
157,karratha,-20.74,116.85,83.7,26,0,4.12,AU,1604366170
158,upernavik,72.79,-56.15,16.16,91,96,7.67,GL,1604366287
159,yamada,39.47,141.95,57.13,63,48,4.32,JP,1604366170
160,sinnamary,5.38,-52.95,77.77,86,71,9.37,GF,1604366391
161,ramnagar,29.4,79.12,60.22,67,0,2.8,IN,1604366391
162,ilulissat,69.22,-51.1,19.4,57,100,27.51,GL,1604366392
163,heinola,61.21,26.04,46.4,100,90,18.34,FI,1604366392
164,moose factory,51.26,-80.61,21.2,85,90,14.99,CA,1604366172
165,omboue,-1.57,9.26,75.04,92,75,3.85,GA,1604366393
166,suez,29.97,32.53,67.71,71,2,7.2,EG,1604366393
167,gamba,-2.65,10.0,74.68,92,81,2.33,GA,1604366172
168,provideniya,64.38,-173.3,30.2,68,90,8.95,RU,1604366394
169,krasnoselkup,65.7,82.47,19.15,97,98,11.23,RU,1604366173
170,chebsara,59.2,38.84,38.07,96,100,9.22,RU,1604366394
171,tromso,69.65,18.96,41.0,86,90,26.4,NO,1604366394
172,ancud,-41.87,-73.82,53.01,87,90,5.82,CL,1604366395
173,jensen beach,27.25,-80.23,71.6,56,75,18.34,US,1604366395
174,buwenge,0.64,33.17,65.82,90,95,2.01,UG,1604366395
175,san quintin,30.48,-115.95,66.9,75,0,8.79,MX,1604366395
176,abnub,27.27,31.15,69.8,56,0,8.05,EG,1604366396
177,dudinka,69.41,86.18,12.2,85,100,4.47,RU,1604366396
178,montrose,38.42,-108.27,50.0,61,1,4.7,US,1604366340
179,airai,-8.93,125.41,77.41,38,98,4.79,TL,1604366396
180,altay,47.87,88.12,28.09,82,58,1.77,CN,1604366397
181,esperance,-33.87,121.9,59.0,100,75,12.75,AU,1604366176
182,rapid valley,44.06,-103.15,53.6,40,1,3.36,US,1604366373
183,samarai,-10.62,150.67,84.09,73,100,7.45,PG,1604366397
184,la asuncion,11.03,-63.86,80.6,83,0,14.99,VE,1604366398
185,chapais,49.78,-74.85,17.6,92,90,4.07,CA,1604366177
186,rosetta,31.4,30.42,71.6,56,40,9.17,EG,1604366398
187,bredasdorp,-34.53,20.04,64.4,88,97,11.41,ZA,1604366399
188,san cristobal,7.77,-72.22,67.77,92,100,2.33,VE,1604366399
189,faya,18.39,42.45,55.4,32,0,1.36,SA,1604366399
190,cidreira,-30.18,-50.21,62.38,76,4,6.71,BR,1604366178
191,vysotsk,60.63,28.57,45.0,100,90,13.87,RU,1604366179
192,husavik,66.04,-17.34,35.6,93,90,20.8,IS,1604366400
193,toamasina,-18.17,49.38,68.0,94,75,3.36,MG,1604366400
194,micheweni,-4.97,39.83,77.29,81,82,10.71,TZ,1604366401
195,fortuna,40.6,-124.16,48.99,93,90,14.99,US,1604366180
196,desaguadero,-16.57,-69.04,52.11,43,0,3.51,PE,1604366401
197,pevek,69.7,170.31,9.61,92,100,24.2,RU,1604366275
198,hambantota,6.12,81.12,77.0,100,90,2.44,LK,1604366402
199,borogontsy,62.67,131.17,-8.05,89,54,4.88,RU,1604366402
200,puerto ayora,-0.74,-90.35,69.01,95,95,5.01,EC,1604366402
201,mount isa,-20.73,139.5,98.6,13,0,14.99,AU,1604366402
202,sebastian,35.17,-94.27,55.0,62,1,2.37,US,1604366181
203,sistranda,63.73,8.83,46.4,87,75,14.99,NO,1604366403
204,ust-maya,60.42,134.53,-3.77,87,67,9.86,RU,1604366403
205,pacifica,37.61,-122.49,64.0,72,20,21.92,US,1604366104
206,maymyo,22.03,96.47,75.2,100,40,3.36,MM,1604366182
207,dingle,11.0,122.67,83.32,80,100,9.35,PH,1604366404
208,aitape,-3.14,142.35,88.39,57,100,4.27,PG,1604366404
209,krivosheino,57.34,83.93,29.75,98,100,6.31,RU,1604366404
210,hay river,60.82,-115.8,17.6,85,100,10.29,CA,1604366405
211,campbell river,50.02,-125.24,50.0,87,90,3.36,CA,1604366405
